title,date,make,year,price,VIN,fuel,odometer,cylinders,paint color,title status,transmission,type,link
2007 Acura TL,2017-09-03 23:29,acura,2007,$6400,NOT INDICATED,gas,143,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-acura-tl/6292243495.html
2012 Nissan Altima 2.5s,2017-09-03 23:29,nissan,2012,$6900,NOT INDICATED,gas,104,NOT INDICATED,NOT INDICATED,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2012-nissan-altima-25s/6292243380.html
91 w250 cummins,2017-09-03 23:28,NOT INDICATED,1991,$8000,NOT INDICATED,diesel,168000,6 cylinders,blue,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/91-w250-cummins/6292243165.html
2007 Honda Accord EX-L -- low mile-- clean title,2017-09-03 23:27,honda,2007,$6500,NOT INDICATED,gas,112,6 cylinders,silver,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2007-honda-accord-ex-low-mile/6292242719.html
2006 TOYOTA TUNDRA DOUBLE CAB limited pickup 4x4,2017-09-03 23:26,toyota,2006,$9800,NOT INDICATED,gas,126,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2006-toyota-tundra-double-cab/6292242541.html
1975-85 c10 short bed,2017-09-03 23:25,NOT INDICATED,1975,$500,NOT INDICATED,gas,NOT INDICATED,8 cylinders,NOT INDICATED,parts only,other,NOT INDICATED,https://sacramento.craigslist.org/cto/d/c10-short-bed/6292242145.html
2001 Mercedes e320,2017-09-03 23:24,NOT INDICATED,2001,$2800,NOT INDICATED,gas,187,6 cylinders,NOT INDICATED,salvage,automatic,wagon,https://sacramento.craigslist.org/cto/d/2001-mercedes-e320/6292235804.html
2008 Hyundai Sonata like new,2017-09-03 23:22,hyundai,2008,$4990,NOT INDICATED,gas,120000,4 cylinders,NOT INDICATED,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2008-hyundai-sonata-like-new/6276081297.html
!!! STOCK 2012 Mitsubishi Evo X MR Must See !!!,2017-09-03 23:22,mitsubishi,2012,$26000,NOT INDICATED,gas,51000,4 cylinders,white,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/stock-2012-mitsubishi-evo-mr/6265804220.html
2012 LEXUS IS250 SPORT LOW MILES,2017-09-03 23:21,lexus,2012,$11800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2012-lexus-is250-sport-low/6259476038.html
2007 Jeep Commander Limited 4wd Trail Rated,2017-09-03 23:19,jeep,2007,$7500,NOT INDICATED,gas,107500,8 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-jeep-commander-limited/6286856510.html
08 BMW 528i - Well Maintained - Lux Package - Below KBB,2017-09-03 23:17,bmw,2008,$6700,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/08-bmw-528i-well-maintained/6292231057.html
1976 280z 2+2,2017-09-03 23:14,NOT INDICATED,1976,$4100,NOT INDICATED,gas,66000,6 cylinders,silver,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/z-22/6252709480.html
2016 Toyota Camry SE,2017-09-03 23:13,toyota,2016,$19000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2016-toyota-camry-se/6289705359.html
2007 Hyundai Tucson 4dr SUV,2017-09-03 23:10,hyundai,2007,$4900,NOT INDICATED,gas,123000,4 cylinders,black,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2007-hyundai-tucson-4dr-suv/6292237270.html
1993 3500 6.5 td  Excellent condition need to sell!!!,2017-09-03 23:10,NOT INDICATED,1993,$7000,NOT INDICATED,diesel,189000,8 cylinders,red,clean,automatic,pickup,https://sacramento.craigslist.org/cto/d/td-excellent-condition-need/6292237000.html
2016 Ford Fusion only 14k miles Fully Loaded,2017-09-03 23:07,ford,2016,$14000,NOT INDICATED,gas,14000,4 cylinders,white,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2016-ford-fusion-only-14k/6281764702.html
Mercury Villager 2001,2017-09-03 23:06,mercury,2001,$500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/mercury-villager-2001/6279069213.html
2008 Toyota Highlanderiles low miles 75400,2017-09-03 23:05,toyota,2008,$10700,NOT INDICATED,gas,72000,6 cylinders,white,salvage,automatic,SUV,https://sacramento.craigslist.org/cto/d/2008-toyota-highlanderiles/6285242604.html
2002 chevy avalanche,2017-09-03 23:00,chevy,2002,$5800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,green,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2002-chevy-avalanche/6292233817.html
"2002 Tahoe ls on 26"" clean",2017-09-03 22:58,NOT INDICATED,2002,$7600,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2002-tahoe-ls-on-26-clean/6292208677.html
